School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
A G WEST BLACK HILLS HIGH SCHOOL,Washington,5.31E+11,WA ,Thurston County,2-No,2-No,–,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,906,181,–,37,218,449,457,9,34,91,19,655,5,93,906,41.8,21.67
A H BUSH ELEMENTARY SCHOOL,Idaho,1.60E+11,ID ,Bonneville County,2-No,1-Yes,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,No,424,293,–,43,336,217,207,7,4,138,0,268,0,7,424,22.38,18.95
A H ROBERTS ELEMENTARY,Tennessee,4.70E+11,TN ,Overton County,2-No,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,416,–,45,–,–,233,183,–,2,7,3,400,–,4,416,29.1,14.3
A H SNIPES ACADEMY OF ARTS/DES,North Carolina,3.70E+11,NC ,New Hanover County,2-No,1-Yes,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,371,368,–,0,368,195,176,0,0,30,302,26,0,13,371,37.26,9.96
A J JORDAK ELEMENTARY SCHOOL,Ohio,3.90E+11,OH ,Geauga County,2-No,–,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,326,121,–,31,152,151,175,0,1,1,2,311,0,11,326,18,18.11
A J KATZENMAIER ACADEMY,Illinois,1.70E+11,IL ,Lake County,2-No,2-No,2-No,21-Suburb: Large,–,–,–,Yes under Community Eligibility Option (CEO),436,415,–,17,432,228,208,1,3,266,143,10,–,13,436,28,15.57
A J MCMULLEN SCH,Pennsylvania,4.22E+11,PA ,Fayette County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,163,70,–,10,80,89,74,0,0,1,1,160,0,1,163,13.44,12.13
A J MITCHELL ELEMENTARY SCHOOL,Arizona,40553000451,AZ ,Santa Cruz County,2-No,–,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,406,361,–,12,373,211,195,0,0,405,0,1,0,0,406,20.5,19.8
A J SCHMIDT ELEMENTARY SCHOOL,New York,3.62E+11,NY ,Erie County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes participating without using any Provision or the CEO,293,126,–,22,148,140,153,19,1,15,2,239,0,17,293,27.01,10.85
A J WEST ELEMENTARY,Washington,5.30E+11,WA ,Grays Harbor County,2-No,2-No,–,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),405,294,–,4,298,205,200,10,3,179,3,185,–,25,405,26.37,15.36
A J WINTERS ELEMENTARY SCHOOL,Idaho,1.60E+11,ID ,Bear Lake County,2-No,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,No,329,133,–,35,168,157,172,7,0,11,1,309,1,0,329,17.5,18.8
A K SMITH AREA CAREER CENTER,Indiana,1.81E+11,IN ,LaPorte County,2-No,2-No,2-No,13-City: Small,†,†,†,–,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
A L BROWN HIGH,North Carolina,3.70E+11,NC ,Cabarrus County,2-No,2-No,2-No,22-Suburb: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,1637,1633,–,1,1634,863,774,0,22,476,520,535,0,84,1637,95.97,17.06
A L LOTTS ELEMENTARY,Tennessee,4.70E+11,TN ,Knox County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,943,–,86,–,–,482,461,–,98,52,48,704,–,41,943,54,17.46
A L STANBACK MIDDLE,North Carolina,3.70E+11,NC ,Orange County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,636,279,–,26,305,343,293,2,5,259,59,287,0,24,636,49,12.98
A L WILSON EL SCH,PENNSYLVANIA,4.20E+11,PA ,Fayette County,2-No,2-No,2-No,23-Suburb: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),358,358,–,0,358,172,186,0,2,3,6,341,0,6,358,26.4,13.56
A LEAL JR MIDDLE,Texas,4.82E+11,TX ,Bexar County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),822,750,–,0,750,413,409,0,0,814,3,4,0,1,822,59.17,13.89
A M COSGROVE MIDDLE SCHOOL,New York,3.63E+11,NY ,Monroe County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,824,220,–,41,261,408,416,2,18,59,46,660,2,37,824,72.81,11.32
A M DAVIS ELEM,Virginia,5.10E+11,VA ,Chesterfield County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,701,374,–,69,443,359,342,1,25,191,242,192,0,50,701,44.5,15.75
A M OCHOA EL,Texas,4.82E+11,TX ,Hidalgo County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),439,384,–,0,384,230,209,0,0,435,1,3,0,0,439,26.85,16.35
A M PATE EL,Texas,4.82E+11,TX ,Tarrant County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),522,465,–,13,478,286,236,5,3,100,393,10,1,10,522,33.8,15.44
A M WINDHAM ELEMENTARY SCHOOL,Alabama,10108001767,AL ,Dale County,2-No,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,509,369,286,32,401,272,237,7,2,73,147,242,4,34,509,30,16.97
A M YEALEY ELEMENTARY SCHOOL,Kentucky,2.10E+11,KY ,Boone County,†,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,566,237,–,29,266,295,271,1,24,28,12,466,3,32,566,39,14.51
A MACARTHUR BARR MIDDLE SCHOOL,New York,3.62E+11,NY ,Rockland County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,338,71,–,10,81,168,170,1,43,78,21,194,0,1,338,25.01,13.51
A MACARTHUR BARR MIDDLE SCHOOL 5-6 ACADEMY FOR EXCELLENCE,NEW YORK,3.62E+11,NY ,Rockland County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,368,81,–,11,92,186,182,0,59,94,22,181,0,12,368,21.51,17.11
A N RICO EL,Texas,4.84E+11,TX ,Hidalgo County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),819,707,–,0,707,407,412,0,0,816,0,3,0,0,819,46.45,17.63
A O MARSHALL ELEM SCHOOL,Illinois,1.72E+11,IL ,Will County,2-No,2-No,2-No,21-Suburb: Large,–,–,–,Yes under Community Eligibility Option (CEO),485,481,–,3,484,249,236,–,–,359,72,18,–,36,485,29,16.72
A P BEUTEL EL,Texas,4.81E+11,TX ,Brazoria County,2-No,2-No,–,23-Suburb: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,620,201,–,19,220,320,300,3,17,256,20,309,0,15,620,37.07,16.73
A P SOLIS MIDDLE,TEXAS,4.82E+11,TX ,Hidalgo County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),842,738,–,0,738,438,404,0,0,839,1,2,0,0,842,80.71,10.43
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,New York,3.60E+11,NY ,New York County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1379,1139,–,46,1185,667,712,7,62,859,388,30,5,28,1379,77.01,17.91
A PLACE TO GROW,California,62827013394,CA ,Ventura County,2-No,–,–,21-Suburb: Large,†,†,†,No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,–,†
A T ALLEN ELEMENTARY,North Carolina,3.70E+11,NC ,Cabarrus County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,880,434,–,71,505,457,423,3,10,254,126,458,2,27,880,57.61,15.28
A V CATO EL,Texas,4.81E+11,TX ,Tarrant County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,721,571,–,56,627,366,355,0,0,503,14,188,0,16,721,41.1,17.54
A VITO MARTINEZ MIDDLE SCHOOL,Illinois,1.74E+11,IL ,Will County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,807,414,–,61,475,396,411,–,41,377,109,251,–,29,807,56,14.41
A W BEATTIE CAREER CENTER,Pennsylvania,4.28E+11,PA ,Allegheny County,2-No,2-No,2-No,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,30,0
A W JAMES ELEMENTARY SCHOOL,MISSISSIPPI,2.80E+11,MS ,Sunflower County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),305,305,–,0,305,147,158,0,0,12,278,15,0,0,305,18.05,16.9
A W JOHNSON ELEMENTARY SCHOOL,Idaho,1.60E+11,ID ,Bingham County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,299,76,–,62,138,161,138,2,–,31,3,261,–,2,299,14.33,20.87
A+ ACADEMY EL,Texas,4.80E+11,TX ,Dallas County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,794,585,–,92,677,389,405,3,2,702,33,45,0,9,794,37.61,21.11
A+ ARTS ACADEMY,Ohio,3.90E+11,OH ,Franklin County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),667,–,343,–,–,324,343,1,0,12,643,3,0,8,667,17,39.24
A+ CHILDREN'S ACADEMY,Ohio,3.90E+11,OH ,Franklin County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),119,–,106,–,–,68,51,0,5,4,39,52,0,19,119,9,13.22
A+ SECONDARY SCHOOL,TEXAS,4.80E+11,TX ,Dallas County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,554,399,–,47,446,272,282,0,0,518,15,15,0,6,554,37.6,14.73
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,4.80E+11,TX ,Harris County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,67,15,–,4,19,48,19,1,0,25,22,16,0,3,67,3,22.33
A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,4.80E+11,TX ,Harris County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,88,46,–,7,53,46,42,0,1,19,66,0,0,2,88,2.95,29.83
A-3 MULTIAGENCY ADOLESCENT PROG,Washington,5.31E+11,WA ,Spokane County,2-No,2-No,–,12-City: Mid-size,†,2-No,6-Not a Title I school,No,27,18,–,4,22,8,19,–,–,3,2,18,–,4,27,4.1,6.59
A-C CENTRAL ELEMENTARY SCHOOL,Illinois,1.70E+11,IL ,Cass County,2-No,2-No,2-No,43-Rural: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,173,80,–,11,91,88,85,–,–,10,4,155,–,4,173,12.37,13.99
A-C CENTRAL HIGH SCHOOL,Illinois,1.70E+11,IL ,Cass County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,141,48,–,18,66,70,71,–,–,3,4,134,–,–,141,12.32,11.44
A-C CENTRAL MIDDLE SCHOOL,Illinois,1.70E+11,IL ,Cass County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,122,45,–,13,58,70,52,–,–,2,–,120,–,–,122,9.81,12.44
A-TECH HIGH SCHOOL,New York,3.60E+11,NY ,Kings County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),404,315,–,10,325,365,39,3,10,155,214,11,3,8,404,37.01,10.92
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,2.20E+11,LA ,Calcasieu Parish,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,778,299,–,69,368,401,377,3,106,44,225,376,1,23,778,41.98,18.53
A. B. HILL ELEMENTARY,Tennessee,4.70E+11,TN ,Shelby County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),310,–,203,–,–,176,134,–,1,–,300,3,–,6,310,24.6,12.6
A. BALDWIN MIDDLE SCHOOL,Connecticut,90180000328,CT ,New Haven County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,538,37,–,11,48,290,248,–,29,41,6,438,–,24,538,42.45,12.67
A. C. CORCORAN ELEMENTARY,South Carolina,4.50E+11,SC ,Charleston County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),661,661,448,0,661,328,333,0,11,80,431,103,6,30,661,44.9,14.72
A. C. E.,Arizona,40463000999,AZ ,Pima County,2-No,–,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,No,10,–,–,–,–,6,4,0,0,7,0,2,0,1,10,6.8,1.47
A. C. FLORA HIGH,South Carolina,4.50E+11,SC ,Richland County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),1402,1402,382,0,1402,708,694,2,19,103,522,691,1,64,1402,91,15.41
A. C. MOORE ELEMENTARY,South Carolina,4.50E+11,SC ,Richland County,2-No,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),352,352,154,0,352,186,166,0,26,78,119,117,0,12,352,30,11.73
A. C. WHELAN ELEMENTARY SCHOOL,Massachusetts,2.51E+11,MA ,Suffolk County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,753,–,377,–,–,401,352,1,39,328,26,345,1,13,753,50,15.06
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,1.20E+11,FL ,Bay County,2-No,2-No,2-No,22-Suburb: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,1863,557,510,59,616,900,963,7,29,108,199,1423,0,97,1863,87,21.41
A. CROSBY KENNETT MIDDLE SCHOOL,New Hampshire,3.30E+11,NH ,Carroll County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,286,76,–,14,90,146,140,1,8,6,2,267,–,2,286,26.2,10.92
A. D. STOWELL ELEM.,Missouri,2.91E+11,MO ,Marion County,2-No,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,269,162,43,29,191,139,130,2,2,7,12,231,–,15,269,22.25,12.09
A. E. ARNOLD ELEMENTARY,California,61044001166,CA ,Orange County,2-No,2-No,–,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,740,249,–,45,294,383,357,–,273,223,40,178,5,21,740,29,25.52
A. E. PHILLIPS LABORATORY SCHOOL,Louisiana,2.20E+11,LA ,Lincoln Parish,2-No,1-Yes,–,32-Town: Distant,–,–,–,Yes participating without using any Provision or the CEO,397,14,–,–,14,201,196,–,9,4,93,287,–,4,397,22,18.05
A. G. A. P. E. TEEN PARENT,Minnesota,2.73E+11,MN ,Ramsey County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),62,58,–,1,59,0,62,1,25,13,18,4,0,1,62,9.04,6.86
A. G. COOK ELEMENTARY,California,61488001834,CA ,Orange County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,368,219,–,37,256,175,193,–,255,80,–,18,2,13,368,16,23
A. G. CURRIE MIDDLE,California,64015006636,CA ,Orange County,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,708,476,–,43,519,362,346,1,24,646,8,24,1,4,708,27.1,26.13
A. HENDERSON ELEM,Virginia,5.10E+11,VA ,Prince William County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,820,165,–,52,217,398,422,0,70,198,171,299,5,77,820,41.84,19.6
A. I. PRINCE TECHNICAL HIGH SCHOOL,Connecticut,90000201136,CT ,Hartford County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,753,453,–,33,486,368,385,3,16,489,194,43,4,4,753,83.6,9.01
A. I. ROOT MIDDLE SCHOOL,Ohio,3.90E+11,OH ,Medina County,2-No,–,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,862,105,–,23,128,440,422,1,11,22,16,787,2,23,862,40.22,21.43
A. IRVIN STUDLEY ELEMENTARY SCHOOL,Massachusetts,2.50E+11,MA ,Bristol County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,384,–,145,–,–,201,183,1,15,66,17,256,1,28,384,30.47,12.6
A. J. DORSA ELEMENTARY,California,60231000103,CA ,Santa Clara County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,371,258,–,50,308,187,184,–,24,338,5,2,2,–,371,16,23.19
A. J. LEWIS GREENVIEW ELEMENTARY,South Carolina,4.50E+11,SC ,Richland County,2-No,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),374,374,283,0,374,181,193,0,0,6,349,4,0,15,374,29,12.9
A. J. MARTIN ELEM.,Missouri,2.91E+11,MO ,Mississippi County,2-No,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,Yes under Community Eligibility Option (CEO),370,231,63,43,274,180,190,1,3,8,15,333,–,10,370,25.25,14.65
A. K. SUTER ELEMENTARY SCHOOL,Florida,1.20E+11,FL ,Escambia County,2-No,2-No,2-No,13-City: Small,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,582,237,231,26,263,302,280,0,6,35,122,383,0,36,582,39,14.92
A. L. CONNER ELEMENTARY,California,61970010780,CA ,Fresno County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),339,303,–,18,321,173,166,–,1,331,1,1,–,5,339,13.1,25.88
A. L. MEBANE MIDDLE SCHOOL,Florida,1.20E+11,FL ,Alachua County,2-No,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),355,219,221,2,221,186,169,2,6,30,123,176,1,17,355,21,16.9
A. LINWOOD HOLTON GOV. SCH.,Virginia,5.10E+11,VA ,Washington County,2-No,1-Yes,1-Yes,23-Suburb: Small,†,†,†,No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,–,†
A. M. THOMAS MIDDLE,California,62295007772,CA ,Kern County,2-No,2-No,–,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,No,186,97,–,0,97,90,96,–,1,182,1,2,–,–,186,9.35,19.89
A. M. WINN WALDORF-INSPIRED,California,63384005217,CA ,Sacramento County,2-No,2-No,–,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Provision 2,348,220,–,38,258,190,158,3,19,127,36,129,3,31,348,17.35,20.06
A. MACEO WALKER MIDDLE,Tennessee,4.70E+11,TN ,Shelby County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),686,–,482,–,–,366,320,–,1,7,672,–,–,6,686,32.4,21.17
A. MARIO LOIEDERMAN MIDDLE,Maryland,2.40E+11,MD ,Montgomery County,2-No,1-Yes,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,944,455,–,100,555,311,633,3,54,576,168,116,–,27,944,64.2,14.7
A. MONTOYA ELEMENTARY,New Mexico,3.50E+11,NM ,Bernalillo County,2-No,†,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,454,203,146,30,233,232,222,7,2,228,6,196,0,15,454,29.15,15.57
A. PHILIP RANDOLPH ACADEMIES,Florida,1.20E+11,FL ,Duval County,2-No,1-Yes,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),412,305,314,9,314,163,249,1,4,39,319,33,0,16,412,30,13.73
A. R. RUCKER MIDDLE,South Carolina,4.50E+11,SC ,Lancaster County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),554,554,249,0,554,279,275,1,5,72,301,164,0,11,554,39,14.21
A. R. WARE ELEM,Virginia,5.10E+11,VA ,Staunton city,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,410,171,–,39,210,217,193,1,0,14,45,293,1,56,410,30,13.67
A. RUSSELL KNIGHT ELEMENTARY SCHOOL,New Jersey,3.40E+11,NJ ,Camden County,2-No,†,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,362,14,–,9,23,185,177,–,24,28,11,283,2,14,362,25.5,14.2
A. T. ALLISON ELEMENTARY SCHOOL,West Virginia,5.40E+11,WV ,Hancock County,†,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,No,424,–,205,–,245,226,198,–,2,5,1,411,–,5,424,28.5,14.88
A. W. COX SCHOOL,Connecticut,90180000329,CT ,New Haven County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,265,23,–,6,29,135,130,–,13,17,1,222,–,12,265,22.55,11.75
A. W. WATSON UPPER ELEMENTARY,Mississippi,2.80E+11,MS ,Claiborne County,2-No,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),731,731,–,0,731,355,376,0,1,1,726,0,0,3,731,39.11,18.69
A. WARD SPAULDING SCHOOL,Connecticut,90447000903,CT ,Hartford County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,448,42,–,3,45,247,201,–,14,31,21,374,–,8,448,35,12.8
A. Z. KELLEY ELEMENTARY,Tennessee,4.70E+11,TN ,Davidson County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),807,–,250,–,–,391,416,–,77,217,264,220,3,26,807,51,15.82
A.B. SKANE CENTER,Connecticut,90045000085,CT ,Fairfield County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),211,80,–,0,80,137,74,–,17,86,56,52,–,–,211,18,11.72
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,2.20E+11,LA ,Jefferson Parish,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),565,261,–,–,261,289,276,–,6,362,99,84,–,14,565,30,18.83
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,2.20E+11,LA ,Caddo Parish,2-No,2-No,–,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),449,100,–,–,100,245,204,1,1,25,86,320,1,15,449,27.44,16.36
A.C.E. ACADEMY,North Carolina,3.70E+11,NC ,Cabarrus County,1-Yes,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,423,151,–,54,205,212,211,1,4,50,313,26,0,29,423,24.47,17.29
A.C.G.C. ELEMENTARY,Minnesota,2.70E+11,MN ,Kandiyohi County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,310,109,–,37,146,165,145,1,2,27,–,274,–,6,310,27.33,11.34
A.C.G.C. SECONDARY,Minnesota,2.70E+11,MN ,Meeker County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,398,106,–,61,167,208,190,5,2,28,1,356,–,6,398,26.25,15.16
